Feature,Importance
lsat_SWIR1_2000,0.16817310298862811
lsat_SWIR2_2000,0.14807206441137724
lsat_NIR_2000,0.13539539169362041
precip_2000,0.11182875757897957
lsat_NBR_2000,0.06846002526920263
lsat_Green_2000,0.058703302624025136
precip_2001,0.053978047230293896
lsat_Red_2000,0.045894395445626394
dem,0.04505377940936388
temp_2001,0.03837190869999068
slope,0.03431263446318979
lsat_NDVI_2000,0.033911420219548676
lsat_Blue_2000,0.030580765920398212
temp_2000,0.027264404045755555
temp_2002,0.0
lsat_Blue_2001,0.0
lsat_Green_2001,0.0
lsat_Red_2001,0.0
lsat_NIR_2001,0.0
lsat_SWIR1_2001,0.0
lsat_SWIR2_2001,0.0
lsat_NDVI_2001,0.0
lsat_NBR_2001,0.0
precip_2002,0.0
